Date,Close,Volume,Company,Ticker,Close_Normalised,YearMonth
2020-09-02,3.6010122299194336,1247400,BYD,BYDDY,126.56042413219693,2020-09
2020-09-03,3.404005289077759,1268400,BYD,BYDDY,119.63645931398612,2020-09
2020-09-04,3.3797831535339355,451800,BYD,BYDDY,118.78515319446137,2020-09
2020-09-08,3.36202073097229,612000,BYD,BYDDY,118.16087879896247,2020-09
2020-09-09,3.347487211227417,479400,BYD,BYDDY,117.65008674783802,2020-09
2020-09-10,3.350717067718506,234000,BYD,BYDDY,117.76360260985092,2020-09
2020-09-11,3.5848634243011475,459000,BYD,BYDDY,125.9928615809516,2020-09
2020-09-14,3.5929372310638428,523800,BYD,BYDDY,126.27662190805023,2020-09
2020-09-15,4.0450825691223145,1280400,BYD,BYDDY,142.1676275754639,2020-09
2020-09-16,4.255007266998291,1005000,BYD,BYDDY,149.54559718585907,2020-09
2020-09-17,4.5489020347595215,1110000,BYD,BYDDY,159.87476134393998,2020-09
2020-09-18,4.5489020347595215,787200,BYD,BYDDY,159.87476134393998,2020-09
2020-09-21,4.240473747253418,746400,BYD,BYDDY,149.03480513473463,2020-09
2020-09-22,4.529523849487305,1435800,BYD,BYDDY,159.19369968950096,2020-09
2020-09-23,4.4617018699646,1904400,BYD,BYDDY,156.8100425548317,2020-09
2020-09-24,4.380961894989014,2127600,BYD,BYDDY,153.9723722485685,2020-09
2020-09-25,4.305066108703613,2532600,BYD,BYDDY,151.3049547868006,2020-09
2020-09-28,4.416486740112305,702600,BYD,BYDDY,155.2209210395663,2020-09
2020-09-29,4.590886116027832,867000,BYD,BYDDY,161.35032510014443,2020-09
2020-09-30,5.207740306854248,1226400,BYD,BYDDY,183.03015372445904,2020-09
2020-10-01,5.3676066398620605,1353000,BYD,BYDDY,188.64878249273193,2020-10
2020-10-02,5.193207740783691,973200,BYD,BYDDY,182.51939519097303,2020-10
2020-10-05,5.2255024909973145,913800,BYD,BYDDY,183.65441974054835,2020-10
2020-10-06,5.064023017883301,1040400,BYD,BYDDY,177.97909588684112,2020-10
2020-10-07,5.131844997406006,706200,BYD,BYDDY,180.36275302151037,2020-10
2020-10-08,5.374065399169922,998400,BYD,BYDDY,188.87578069911928,2020-10
2020-10-09,5.251340866088867,534000,BYD,BYDDY,184.5625298778324,2020-10
2020-10-12,5.374065399169922,557400,BYD,BYDDY,188.87578069911928,2020-10
2020-10-13,5.425739288330078,672600,BYD,BYDDY,190.69190042077207,2020-10
2020-10-14,5.571071147918701,1956600,BYD,BYDDY,195.79970362028203,2020-10
2020-10-15,5.661499977111816,1293600,BYD,BYDDY,198.97789637435514,2020-10
2020-10-16,5.419280052185059,1303800,BYD,BYDDY,190.46488545556545,2020-10
2020-10-19,5.273947715759277,811200,BYD,BYDDY,185.35706549723625,2020-10
2020-10-20,5.780996322631836,1246200,BYD,BYDDY,203.1776899894964,2020-10
2020-10-21,5.811676502227783,1485600,BYD,BYDDY,204.2559691771797,2020-10
2020-10-22,6.131408214569092,1293600,BYD,BYDDY,215.49319319608696,2020-10
2020-10-23,5.774537086486816,1249800,BYD,BYDDY,202.9506750242898,2020-10
2020-10-26,5.590449333190918,2059800,BYD,BYDDY,196.48076527472105,2020-10
2020-10-27,5.9344024658203125,1155600,BYD,BYDDY,208.56927027492424,2020-10
